id,answer
CORP-TAX-001,taxation of income
CORP-TAX-002,taxation
CORP-TAX-003,agro-industrie
CORP-TAX-004,a) in the same year as the parent company
CORP-TAX-005,a reversal of the reversal
CORP-TAX-006,a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of a maximum of 
CORP-TAX-007,taxation
CORP-TAX-008,tax
CORP-TAX-009,the loss calculation is based on the loss of the group members
CORP-TAX-010,no
CORP-TAX-011,no
CORP-TAX-012,if the share is a taxable dividend
CORP-TAX-013, 10 KStG (Beteiligungsbefreiung) and  12 Abs. 1 Z 10 KStG (Abzugsverbot für Lizenzgebühren) simultaneously on the same Konzern
CORP-TAX-014,a monopoly on the production of sugar
CORP-TAX-015,a tax on the profits of international smuggling
CORP-TAX-016,no
CORP-TAX-017, 11 KStG
CORP-TAX-018,no
CORP-TAX-019,"(a) EU-Geldbuße, (b) Spende an favourable recipient, (c) Aufsichtsratsvergütung, (d) License fee an conglomerate with 8 % tax"
CORP-TAX-020,when the company is a subsidiary
CORP-TAX-021,a remittance
CORP-TAX-022, 7–12 KStG
CORP-TAX-023,a deduction of a tax of a year
CORP-TAX-024,a period of time
CORP-TAX-025,a tax on income
CORP-TAX-026,a remittance
CORP-TAX-027, 9 KStG
CORP-TAX-028,ten years
CORP-TAX-029,no
CORP-TAX-030,a tax on the income of the individual
CORP-TAX-031,taxation
CORP-TAX-032,a) the amount of the loss
CORP-TAX-033,a year
CORP-TAX-034,a taxable income
CORP-TAX-035,no
CORP-TAX-036,a negative impact
CORP-TAX-037,when the tax rate is  10 KStG
CORP-TAX-038, 11 KStG
CORP-TAX-039, 12 KStG
CORP-TAX-040,a favourable tax environment
CORP-TAX-041,april
CORP-TAX-042,income tax
CORP-TAX-043, 7–12 KStG
CORP-TAX-044,no
CORP-TAX-045,no
CORP-TAX-046,a remittance of  8 KStG
CORP-TAX-047,a remuneration of the deceased
CORP-TAX-048,income tax
CORP-TAX-049,a tax on the profits of the company
CORP-TAX-050,a lower tax burden
CORP-TAX-051, 7–12 KStG
CORP-TAX-052,a group of individuals
CORP-TAX-053,no
CORP-TAX-054,taxation of income
CORP-TAX-055,a reversal of the current reversion rate
CORP-TAX-056,taxation of the taxable income
CORP-TAX-057,a tax exemption
CORP-TAX-058,a tax exemption
CORP-TAX-059,no
CORP-TAX-060,taxation of income
TAX-INTL-001,no
TAX-INTL-002,no
TAX-INTL-003,a französischer consultant carries out without a fixed apartment in sterreich
TAX-INTL-004,a maximum of 50 days per year
TAX-INTL-005,no
TAX-INTL-006,no
TAX-INTL-007,no
TAX-INTL-008,no
TAX-INTL-009,he was a resident of a country
TAX-INTL-010,no
TAX-INTL-011,a person stays in a country for several months
TAX-INTL-012,no
TAX-INTL-013,no
TAX-INTL-014,no
TAX-INTL-015,no
TAX-INTL-016,no
TAX-INTL-017,no
TAX-INTL-018,a reversal of the aforementioned
TAX-INTL-019,no
TAX-INTL-020,he hat in sterreich weder Wohnsitz noch gewöhnliche Aufenthalt
TAX-INTL-021,no
TAX-INTL-022,no
TAX-INTL-023,no
TAX-INTL-024,no
TAX-INTL-025,a tax on income
TAX-INTL-026,a family bonus plus or an all-in-one contribution
TAX-INTL-027,no
TAX-INTL-028,no
TAX-INTL-029,no
TAX-INTL-030, 102 EStG 1988
TAX-INTL-031,no
TAX-INTL-032,a limited taxable
TAX-INTL-033,no
TAX-INTL-034,yes
TAX-INTL-035,if the Austrian Chancellor remains in office
TAX-INTL-036,a tax on the income of a state with a DBA
TAX-INTL-037,a dba
TAX-INTL-038,a tax on foreign income
TAX-INTL-039,a tax on foreign income
TAX-INTL-040,no
TAX-INTL-041,if the foreign tax law is interpreted in other ways
TAX-INTL-042,yes
TAX-INTL-043,no
TAX-INTL-044,no
TAX-INTL-045,a house
TAX-INTL-046,a stg
TAX-INTL-047,steuerfreie Auslandsgrenze
TAX-INTL-048,no
TAX-INTL-049,no
